date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:23	122787/122787	---M-Z	200	added ('OK')	text/css	etag:%221dfa3-5ec7b7a5bdd15;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/essential-addons-elementor/18a76cf22.min.css?ver=1669669290	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/essential-addons-elementor/18a76cf22.mine183.css	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:24	265233/265233	---M-Z	200	added ('OK')	text/css	etag:%2240c11-5ec79455fb2ff;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/elementor/css/post-6.css?ver=1667380482	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/elementor/css/post-64a84.css	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:24	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-5dfcc8fccb73b;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:26	175406/175406	---M-Z	200	added ('OK')	application/json	date:Mon,%2028%20Nov%202022%2021:03:27%20GMT	https://templatekit.jegtheme.com/pirus/wp-json/wp/v2/pages/6	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-json/wp/v2/pages/6.json	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:26	2352/2352	---M-Z	200	added ('OK')	application/json	date:Mon,%2028%20Nov%202022%2021:03:27%20GMT	https://templatekit.jegtheme.com/pirus/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftemplatekit.jegtheme.com%2Fpirus%2Fhome-2%2F	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-json/oembed/1.0/embed25a0.json	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Nov%202022%2021:03:28%20GMT	https://templatekit.jegtheme.com/pirus/?p=6	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/index42dc.html	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:27	2421/2421	---M-Z	200	added ('OK')	text/xml	date:Mon,%2028%20Nov%202022%2021:03:28%20GMT	https://templatekit.jegtheme.com/pirus/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftemplatekit.jegtheme.com%2Fpirus%2Fhome-2%2F&format=xml	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-json/oembed/1.0/embedca40	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:27	108025/108025	---MCZ	200	added ('OK')	image/jpeg	etag:%221a5f9-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/11/lloyd-dirks-0vsk2_9dkqo-unsplash-2-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/11/lloyd-dirks-0vsk2_9dkqo-unsplash-2-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:27	208824/208824	---MCZ	200	added ('OK')	image/jpeg	etag:%2232fb8-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/nimble-made-kMGX6UK06Ps-unsplash-2-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/nimble-made-kMGX6UK06Ps-unsplash-2-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:28	195117/195117	---MCZ	200	added ('OK')	image/jpeg	etag:%222fa2d-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/david-svihovec-bk7BYXWJcwM-unsplash-2-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/david-svihovec-bk7BYXWJcwM-unsplash-2-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
